category,description,item_number,main_image,price,rating,rating_count,seller,title
cpu,"Ready for Advanced AI PCs: Designed for the future of AI computing, with the power and connectivity needed for demanding AI applications 
AMD AM5 Socket: Ready for AMD Ryzen™ 9000, 8000 and 7000 Series Desktop Processors 
Intelligent Control: ASUS-exclusive AI Advisor, AI Overclocking, AI Cooling II, AI Networking II and AEMP to simplify setup and improve performance 
ROG Overclocking Technologies: Dynamic OC Switcher, Core Flex, Asynchronous Clock and PBO Enhancement 
Robust Power Solution: 18(110A)+2(110A)+2(80A) power stages with ProCool II power connectors, MicroFine alloy chokes and premium SMD capacitors 
Optimized Thermal Design: Massive heatsinks with integrated I/O cover, high-conductivity thermal pads, and connected with a heatpipe 
Latest M.2 Support: Three onboard PCIe® 5.0 M.2 slots and two PCIe® 4.0 M.2 slots on an ROG DIMM.2 card, all with substantial cooling solutions 
ROG Memory Fan Kit: Cooling solution can unleash memory overclocking up to 9600+ MT/s",13-119-734,https://c1.neweggimages.com/ProductImageOriginal/13-119-734-01.png,699.99,4.3,10,Newegg,"ASUS ROG CROSSHAIR X870E APEX AMD X870E AM5 ATX motherboard, Advanced AI PC-ready, 18+2+2 stages, DDR5, ROG Memory Fan, ROG DIMM.2 Card, Wi-Fi 7, 5G LAN, 3x M.2, PCIe® 5.0, USB4® , USB Type-C®, AI OC"
cpu,"Supports Intel Core Ultra Processors (Series 2)
DDR5 Compatible: 4*DIMMs with XMP Memory Module Support
Power Design: 20+1+2, 110A Smart Power Stage
Thermals: VRM Thermal Armor Advanced, M.2 Thermal Guard
Connectivity: PCIe 5.0, 4x M.2 Slots, Dual Thunderbolt 4, Front USB-C
DIY Friendly: M.2 EZ-Latch, PCIe EZ-Latch, WIFI EZ-Plug, EZ-Debug Zone
Networking: WIFI7, 10GbE LAN",13-145-542,https://c1.neweggimages.com/ProductImageOriginal/13-145-542-02.jpg,589.99,5,1,Newegg,"GIGABYTE Z890 AORUS MASTER AI TOP Intel Core Ultra (Series 2) LGA 1851 Motherboard, E-ATX, DDR5, 4x M.2, PCIe 5.0, Thunderbolt 4, WIFI7, 10GbE LAN, EZ-Latch"
cpu,"Supports Intel®Core™ Ultra Processors (Series 2) (LGA1851)
20+1+2+1+1 Power Phase, 110A SPS for VCore
4 x DDR5 DIMMs Supports Dual Channel, up to 9200+ (OC)
1 PCIe 5.0 x16, 1 PCIe 4.0 x16
Graphics Output Options: 1 HDMI, 2 Thunderbolt™ 4 Type-C
Realtek ALC4082 5.1 CH HD Audio Codec,
ESS SABRE9219 DAC, WIMA Audio Cap, Nahimic Audio",13-162-169,https://c1.neweggimages.com/ProductImageOriginal/13-162-169-05.png,299.99,4.2,51,Newegg,ASRock Z890 Taichi LGA 1851 ATX Motherboard
cpu,"7nm Vermeer (Zen 3) 105W 
64MB L3 Cache 
8MB L2 Cache 
None Integrated Graphics",19-113-663R,https://c1.neweggimages.com/ProductImageOriginal/19-113-663-V01.jpg,547.31,0,0,Newegg,AMD Ryzen 9 5950X - Ryzen 9 5000 Series Vermeer (Zen 3) 16-Core 3.4 GHz Socket AM4 105W None Integrated Graphics Desktop CPU Processor - 100-100000059WOF
cpu,"7nm Cezanne (Zen 3) 65W 
16MB L3 Cache 
3MB L2 Cache 
None Integrated Graphics",19-113-737,https://c1.neweggimages.com/ProductImageOriginal/19-113-737-V03.jpg,97,4.8,307,Newegg,AMD Ryzen 5 5500 - Ryzen 5 5000 Series Cezanne (Zen 3) 6-Core 3.6 GHz Socket AM4 65W No Integrated Graphics Desktop CPU Processor - 100-100000457BOX
cpu,"7nm Renoir (Zen 2) 65W 
8MB L3 Cache 
3MB L2 Cache 
None Integrated Graphics",19-113-738,https://c1.neweggimages.com/ProductImageOriginal/ARUXS2204210J7PZ0CA.jpg,68,4.5,101,Newegg,AMD Ryzen 5 4500 - Ryzen 5 4000 Series Renoir (Zen 2) 6-Core 3.6 GHz Socket AM4 65W None Integrated Graphics Desktop CPU Processor - 100-100000644BOX
cpu,"Zen 4 - TSMC 5nm FinFET 105W 
32MB L3 Cache 
Windows 11 Supported
Cooling Device not Included - Processor Only",19-113-768,https://c1.neweggimages.com/ProductImageOriginal/19-113-768-01.jpg,299,4.8,1011,Newegg,AMD Ryzen 7 7700X - Zen 4 8-Core 4.5 GHz - Socket AM5 - 105W Desktop Processor (100-100000591WOF)
cpu,"Zen 4 - TSMC 5nm FinFET 105W 
32MB L3 Cache 
Windows 11 Supported
Cooling Device not Included - Processor Only",19-113-768T,https://c1.neweggimages.com/ProductImageOriginal/19-113-768T-02.jpg,199,5,1,Newegg,AMD Ryzen 7 7700X - Zen 4 8-Core 4.5 GHz - Socket AM5 - 105W Desktop Processor (100-100000591WOF)
cpu,"Zen 4 - TSMC 5nm FinFET 170W 
64MB L3 Cache 
Windows 11 Supported
Cooling device not included - Processor Only",19-113-769,https://c1.neweggimages.com/ProductImageOriginal/19-113-769-02.jpg,374,4.8,1011,Newegg,AMD Ryzen 9 7900X - Zen 4 12-Core 4.7 GHz - Socket AM5 - 170W Desktop Processor (100-100000589WOF)
cpu,"Zen 4 - TSMC 5nm FinFET 170W 
64MB L3 Cache 
Windows 11 Supported
Cooling device not included - Processor Only",19-113-769T,https://c1.neweggimages.com/ProductImageOriginal/19-113-769T-04.jpg,251,5,1,Newegg,AMD Ryzen 9 7900X - Zen 4 12-Core 4.7 GHz - Socket AM5 - 170W Desktop Processor (100-100000589WOF)
